Area of residence,Area of workplace,All categories: Method of travel to work,Work mainly at or from home,"Underground, metro, light rail, tram",Train,"Bus, minibus or coach",Taxi,"Motorcycle, scooter or moped",Driving a car or van,Passenger in a car or van,Bicycle,On foot,Other method of travel to work,city_origin,city_dest
E02002868,E02002868,133,0,2,0,5,2,0,40,6,2,76,0,Nottingham,Nottingham
E02002868,E02002869,70,0,0,0,9,4,0,37,5,2,13,0,Nottingham,Nottingham
E02002868,E02002871,20,0,0,0,0,1,0,13,1,0,5,0,Nottingham,Nottingham
E02002868,E02002872,56,0,0,0,4,1,1,42,2,1,5,0,Nottingham,Nottingham
E02002868,E02002873,12,0,0,0,5,0,0,7,0,0,0,0,Nottingham,Nottingham
E02002868,E02002874,137,0,0,0,34,0,0,87,9,1,6,0,Nottingham,Nottingham
E02002868,E02002875,17,0,0,0,0,0,0,12,1,0,4,0,Nottingham,Nottingham
E02002868,E02002876,29,0,1,0,5,0,1,19,2,1,0,0,Nottingham,Nottingham
E02002868,E02002877,23,0,0,0,4,0,0,19,0,0,0,0,Nottingham,Nottingham
E02002868,E02002879,39,0,0,0,5,0,0,30,1,1,1,1,Nottingham,Nottingham
E02002868,E02002881,20,0,0,0,1,0,0,16,3,0,0,0,Nottingham,Nottingham
E02002868,E02002882,17,0,0,0,5,0,0,9,3,0,0,0,Nottingham,Nottingham
E02002868,E02002883,11,0,0,0,1,0,0,8,1,1,0,0,Nottingham,Nottingham
E02002868,E02002884,33,0,0,0,9,0,0,22,1,0,1,0,Nottingham,Nottingham
E02002868,E02002885,18,0,1,0,2,0,0,13,1,0,1,0,Nottingham,Nottingham
E02002868,E02002886,19,0,1,0,2,0,0,14,1,0,1,0,Nottingham,Nottingham
E02002868,E02002889,58,0,5,0,18,0,2,27,4,0,2,0,Nottingham,Nottingham
E02002868,E02002890,102,0,3,0,57,0,0,32,5,1,4,0,Nottingham,Nottingham
E02002868,E02002892,18,0,0,0,5,0,0,12,1,0,0,0,Nottingham,Nottingham
E02002868,E02002893,26,0,0,0,8,1,0,15,0,2,0,0,Nottingham,Nottingham
E02002868,E02002895,43,0,5,0,21,0,0,16,1,0,0,0,Nottingham,Nottingham
E02002868,E02002896,41,0,0,0,10,0,1,27,0,3,0,0,Nottingham,Nottingham
E02002868,E02002898,88,0,1,0,29,0,0,50,4,3,1,0,Nottingham,Nottingham
E02002868,E02002899,26,0,0,0,5,0,1,19,1,0,0,0,Nottingham,Nottingham
E02002868,E02006834,31,0,0,0,3,0,0,19,3,1,5,0,Nottingham,Nottingham
E02002868,E02006835,22,0,0,0,2,0,0,14,3,0,3,0,Nottingham,Nottingham
E02002868,E02006904,159,0,22,2,75,0,6,46,1,4,2,1,Nottingham,Nottingham
E02002868,E02006905,45,0,1,0,14,0,0,28,2,0,0,0,Nottingham,Nottingham
E02002869,E02002868,18,0,0,0,1,0,0,7,1,4,5,0,Nottingham,Nottingham
E02002869,E02002869,325,0,7,0,19,3,0,80,10,5,201,0,Nottingham,Nottingham
E02002869,E02002871,51,0,4,0,6,1,0,20,0,4,16,0,Nottingham,Nottingham
E02002869,E02002872,116,0,3,0,8,4,1,39,9,6,45,1,Nottingham,Nottingham
E02002869,E02002874,93,0,3,0,34,0,0,45,5,4,2,0,Nottingham,Nottingham
E02002869,E02002875,30,0,3,2,6,0,0,12,2,4,1,0,Nottingham,Nottingham
E02002869,E02002876,29,0,2,0,9,1,0,11,2,1,2,1,Nottingham,Nottingham
E02002869,E02002877,18,0,0,1,4,0,0,10,2,0,1,0,Nottingham,Nottingham
E02002869,E02002879,41,0,5,0,13,0,1,17,4,0,0,1,Nottingham,Nottingham
E02002869,E02002881,22,0,0,0,3,1,0,13,3,0,2,0,Nottingham,Nottingham
E02002869,E02002884,26,0,1,0,9,0,0,16,0,0,0,0,Nottingham,Nottingham
E02002869,E02002885,33,0,16,0,3,0,0,9,4,0,1,0,Nottingham,Nottingham
E02002869,E02002886,23,0,2,0,1,0,0,16,1,1,2,0,Nottingham,Nottingham
E02002869,E02002887,30,0,0,0,7,0,0,17,1,0,5,0,Nottingham,Nottingham
E02002869,E02002889,50,0,19,0,22,0,0,6,1,0,2,0,Nottingham,Nottingham
E02002869,E02002890,67,0,17,0,20,0,0,22,1,2,5,0,Nottingham,Nottingham
E02002869,E02002892,15,0,0,0,6,0,0,6,1,2,0,0,Nottingham,Nottingham
E02002869,E02002893,32,0,5,0,8,0,0,12,2,3,2,0,Nottingham,Nottingham
E02002869,E02002895,38,0,8,0,8,0,0,20,1,1,0,0,Nottingham,Nottingham
E02002869,E02002896,41,0,9,1,6,0,0,22,0,0,3,0,Nottingham,Nottingham
E02002869,E02002898,82,0,4,1,29,0,2,33,6,5,2,0,Nottingham,Nottingham
E02002869,E02002899,19,0,0,0,4,0,0,13,1,1,0,0,Nottingham,Nottingham
E02002869,E02006834,11,0,0,0,0,0,0,9,1,0,1,0,Nottingham,Nottingham
E02002869,E02006835,11,0,1,0,2,0,0,4,1,0,3,0,Nottingham,Nottingham
E02002869,E02006904,202,0,70,6,53,1,1,48,10,3,8,2,Nottingham,Nottingham
E02002869,E02006905,54,0,13,0,7,1,1,26,5,1,0,0,Nottingham,Nottingham
E02002871,E02002868,60,0,1,0,2,0,0,22,6,3,26,0,Nottingham,Nottingham
E02002871,E02002869,200,0,0,0,14,1,0,74,9,5,97,0,Nottingham,Nottingham
E02002871,E02002871,141,0,2,0,10,1,0,39,7,5,77,0,Nottingham,Nottingham
E02002871,E02002872,132,0,2,0,10,0,0,64,16,3,37,0,Nottingham,Nottingham
E02002871,E02002874,168,0,0,0,60,1,1,73,19,1,13,0,Nottingham,Nottingham
E02002871,E02002875,57,0,2,0,3,0,0,26,9,2,15,0,Nottingham,Nottingham
E02002871,E02002876,41,0,1,0,6,1,0,22,5,1,5,0,Nottingham,Nottingham
E02002871,E02002877,28,0,0,0,9,0,0,17,1,1,0,0,Nottingham,Nottingham
E02002871,E02002879,65,0,0,0,14,1,0,36,5,2,7,0,Nottingham,Nottingham
E02002871,E02002881,29,0,0,0,3,0,0,21,4,0,1,0,Nottingham,Nottingham
E02002871,E02002882,29,0,1,0,8,0,0,16,3,1,0,0,Nottingham,Nottingham
E02002871,E02002883,12,0,0,0,2,0,1,7,2,0,0,0,Nottingham,Nottingham
E02002871,E02002884,43,0,0,0,14,0,0,26,2,0,1,0,Nottingham,Nottingham
E02002871,E02002885,39,0,4,0,11,0,0,18,3,0,1,2,Nottingham,Nottingham
E02002871,E02002886,31,0,2,0,0,0,0,21,4,1,3,0,Nottingham,Nottingham
E02002871,E02002887,49,0,1,0,10,0,0,35,1,2,0,0,Nottingham,Nottingham
E02002871,E02002889,57,0,8,0,25,0,0,19,2,2,1,0,Nottingham,Nottingham
E02002871,E02002890,116,0,8,0,67,0,2,31,4,0,4,0,Nottingham,Nottingham
E02002871,E02002892,20,0,0,0,6,0,1,10,0,2,1,0,Nottingham,Nottingham
E02002871,E02002893,39,0,0,0,7,0,0,27,2,2,1,0,Nottingham,Nottingham
E02002871,E02002895,55,0,8,0,17,0,0,26,2,1,0,1,Nottingham,Nottingham
E02002871,E02002896,66,0,0,1,16,1,3,38,2,3,1,1,Nottingham,Nottingham
E02002871,E02002898,155,0,1,0,37,0,1,90,12,13,1,0,Nottingham,Nottingham
E02002871,E02002899,30,0,1,0,13,0,0,13,0,2,1,0,Nottingham,Nottingham
E02002871,E02006834,12,0,0,0,1,0,0,10,0,0,1,0,Nottingham,Nottingham
E02002871,E02006835,24,0,0,0,5,1,0,12,0,1,5,0,Nottingham,Nottingham
E02002871,E02006904,291,0,40,11,123,2,2,86,9,7,7,4,Nottingham,Nottingham
E02002871,E02006905,97,0,2,3,22,0,0,57,8,2,3,0,Nottingham,Nottingham
E02002872,E02002868,31,0,0,0,7,0,0,15,0,3,6,0,Nottingham,Nottingham
E02002872,E02002869,300,0,7,2,32,2,1,88,18,9,140,1,Nottingham,Nottingham
E02002872,E02002871,55,0,1,0,10,1,1,19,2,3,18,0,Nottingham,Nottingham
E02002872,E02002872,236,0,3,0,19,2,5,82,6,18,101,0,Nottingham,Nottingham
E02002872,E02002874,116,0,1,0,44,0,1,57,10,1,2,0,Nottingham,Nottingham
E02002872,E02002875,48,0,2,0,7,0,1,23,8,0,7,0,Nottingham,Nottingham
E02002872,E02002876,60,0,2,0,10,0,0,35,4,1,8,0,Nottingham,Nottingham
E02002872,E02002877,17,0,0,0,6,0,0,11,0,0,0,0,Nottingham,Nottingham
E02002872,E02002879,58,0,2,0,18,1,2,25,7,0,3,0,Nottingham,Nottingham
E02002872,E02002881,41,0,0,0,0,0,0,34,5,1,1,0,Nottingham,Nottingham
E02002872,E02002882,20,0,0,0,8,0,0,11,0,0,1,0,Nottingham,Nottingham
E02002872,E02002884,46,0,0,0,11,0,0,30,1,0,4,0,Nottingham,Nottingham
E02002872,E02002885,50,0,16,2,5,0,0,22,2,0,2,1,Nottingham,Nottingham
E02002872,E02002886,40,0,0,0,13,0,0,23,3,0,1,0,Nottingham,Nottingham
E02002872,E02002887,48,0,0,0,14,0,0,26,2,3,3,0,Nottingham,Nottingham
E02002872,E02002889,54,0,16,0,21,0,0,11,4,0,2,0,Nottingham,Nottingham
E02002872,E02002890,81,0,8,1,33,0,1,31,1,2,2,2,Nottingham,Nottingham
E02002872,E02002891,11,0,0,0,2,0,0,8,1,0,0,0,Nottingham,Nottingham
E02002872,E02002892,35,0,0,0,4,0,0,26,0,2,3,0,Nottingham,Nottingham
E02002872,E02002893,39,0,6,0,15,0,0,15,2,1,0,0,Nottingham,Nottingham
E02002872,E02002895,54,0,9,0,24,0,0,16,3,1,0,1,Nottingham,Nottingham
E02002872,E02002896,48,0,0,0,16,2,0,27,0,1,2,0,Nottingham,Nottingham
E02002872,E02002898,121,0,2,0,25,0,1,73,14,5,1,0,Nottingham,Nottingham
E02002872,E02002899,30,0,1,0,6,0,0,21,0,1,1,0,Nottingham,Nottingham
E02002872,E02006834,14,0,1,0,0,0,0,11,1,0,1,0,Nottingham,Nottingham
E02002872,E02006904,259,0,64,4,85,3,2,82,5,7,6,1,Nottingham,Nottingham
E02002872,E02006905,86,0,7,2,15,0,0,51,5,1,4,1,Nottingham,Nottingham
E02002873,E02002868,64,0,0,1,9,0,0,20,5,0,29,0,Nottingham,Nottingham
E02002873,E02002869,77,0,0,0,31,0,1,31,7,0,7,0,Nottingham,Nottingham
E02002873,E02002871,31,0,0,0,3,0,0,12,3,1,12,0,Nottingham,Nottingham
E02002873,E02002872,50,0,1,0,15,0,0,21,8,4,1,0,Nottingham,Nottingham
E02002873,E02002873,96,0,1,0,12,1,0,31,3,2,46,0,Nottingham,Nottingham
E02002873,E02002874,269,0,0,0,31,1,0,73,15,6,143,0,Nottingham,Nottingham
E02002873,E02002875,51,0,0,1,4,1,0,27,2,4,12,0,Nottingham,Nottingham
E02002873,E02002876,19,0,0,0,1,0,0,12,0,1,5,0,Nottingham,Nottingham
E02002873,E02002877,50,0,1,0,14,2,0,19,7,0,7,0,Nottingham,Nottingham
E02002873,E02002879,56,0,0,0,12,2,0,32,5,1,4,0,Nottingham,Nottingham
E02002873,E02002881,27,0,0,0,3,0,0,19,3,1,1,0,Nottingham,Nottingham
E02002873,E02002882,36,0,0,0,21,0,0,10,4,0,1,0,Nottingham,Nottingham
E02002873,E02002883,17,0,0,0,4,0,1,12,0,0,0,0,Nottingham,Nottingham
E02002873,E02002884,49,0,0,0,19,0,1,27,1,0,1,0,Nottingham,Nottingham
E02002873,E02002885,31,0,1,0,6,0,0,22,1,0,1,0,Nottingham,Nottingham
E02002873,E02002886,24,0,0,0,7,0,0,14,1,2,0,0,Nottingham,Nottingham
E02002873,E02002887,30,0,0,0,5,0,0,21,2,0,2,0,Nottingham,Nottingham
E02002873,E02002888,13,0,0,0,2,0,0,8,2,1,0,0,Nottingham,Nottingham
E02002873,E02002889,94,0,8,0,46,2,0,29,1,1,6,1,Nottingham,Nottingham
E02002873,E02002890,140,0,0,1,85,2,1,37,5,5,4,0,Nottingham,Nottingham
E02002873,E02002892,26,0,0,0,8,0,0,14,1,1,2,0,Nottingham,Nottingham
E02002873,E02002893,34,0,0,0,14,1,0,15,0,1,3,0,Nottingham,Nottingham
E02002873,E02002895,74,0,1,0,43,0,0,20,3,3,4,0,Nottingham,Nottingham
E02002873,E02002896,83,0,0,0,33,1,2,42,4,0,1,0,Nottingham,Nottingham
E02002873,E02002898,190,0,0,0,66,1,0,94,12,11,5,1,Nottingham,Nottingham
E02002873,E02002899,30,0,0,0,8,0,1,18,1,1,1,0,Nottingham,Nottingham
E02002873,E02006834,50,0,0,0,5,0,0,15,1,1,26,2,Nottingham,Nottingham
E02002873,E02006835,24,0,0,0,7,0,0,11,1,1,4,0,Nottingham,Nottingham
E02002873,E02006904,317,0,11,0,182,0,3,84,19,5,12,1,Nottingham,Nottingham
E02002873,E02006905,79,0,0,0,36,0,2,35,4,0,2,0,Nottingham,Nottingham
E02002874,E02002868,23,0,0,0,14,0,0,9,0,0,0,0,Nottingham,Nottingham
E02002874,E02002869,15,0,1,0,1,0,0,12,1,0,0,0,Nottingham,Nottingham
E02002874,E02002871,15,0,0,0,4,0,0,9,0,1,1,0,Nottingham,Nottingham
E02002874,E02002872,22,0,1,0,6,0,0,11,2,1,1,0,Nottingham,Nottingham
E02002874,E02002873,13,0,0,0,3,0,0,6,1,0,3,0,Nottingham,Nottingham
E02002874,E02002874,332,0,1,1,18,3,3,76,7,4,219,0,Nottingham,Nottingham
E02002874,E02002876,14,0,0,0,3,0,0,9,0,0,2,0,Nottingham,Nottingham
E02002874,E02002877,84,0,0,0,7,1,4,34,5,2,31,0,Nottingham,Nottingham
E02002874,E02002879,53,0,0,0,8,0,0,25,6,2,12,0,Nottingham,Nottingham
E02002874,E02002881,24,0,0,0,2,0,0,20,1,0,1,0,Nottingham,Nottingham
E02002874,E02002882,28,0,0,0,6,0,0,16,4,0,2,0,Nottingham,Nottingham
E02002874,E02002883,19,0,0,0,5,0,0,10,0,0,4,0,Nottingham,Nottingham
E02002874,E02002884,52,0,1,0,18,0,0,25,3,0,5,0,Nottingham,Nottingham
E02002874,E02002885,46,0,0,0,9,1,0,31,2,1,2,0,Nottingham,Nottingham
E02002874,E02002886,24,0,0,0,5,0,0,15,0,2,2,0,Nottingham,Nottingham
E02002874,E02002887,17,0,0,0,4,0,0,12,0,0,1,0,Nottingham,Nottingham
E02002874,E02002888,15,0,0,1,3,1,0,9,0,0,1,0,Nottingham,Nottingham
E02002874,E02002889,103,0,0,0,46,0,1,42,7,3,4,0,Nottingham,Nottingham
E02002874,E02002890,122,0,0,0,63,1,0,37,7,1,13,0,Nottingham,Nottingham
E02002874,E02002892,15,0,0,0,3,0,0,10,0,1,1,0,Nottingham,Nottingham
E02002874,E02002893,32,0,0,0,17,0,0,14,0,0,1,0,Nottingham,Nottingham
E02002874,E02002895,86,0,0,0,47,0,0,22,6,5,6,0,Nottingham,Nottingham
E02002874,E02002896,56,0,1,0,16,1,1,29,5,0,3,0,Nottingham,Nottingham
E02002874,E02002898,150,0,1,0,66,0,2,59,7,10,5,0,Nottingham,Nottingham
E02002874,E02002899,41,0,0,0,14,0,1,20,0,3,3,0,Nottingham,Nottingham
E02002874,E02006834,14,0,0,0,1,1,0,8,1,0,3,0,Nottingham,Nottingham
E02002874,E02006904,272,0,11,1,150,3,1,58,12,14,22,0,Nottingham,Nottingham
E02002874,E02006905,79,0,1,0,24,0,0,39,10,2,2,1,Nottingham,Nottingham
E02002875,E02002868,29,0,0,0,5,0,0,14,0,1,9,0,Nottingham,Nottingham
E02002875,E02002869,85,0,4,0,19,2,0,39,5,0,16,0,Nottingham,Nottingham
E02002875,E02002871,44,0,0,0,8,0,0,14,1,2,19,0,Nottingham,Nottingham
E02002875,E02002872,73,0,8,0,16,0,1,31,7,5,5,0,Nottingham,Nottingham
E02002875,E02002873,11,0,0,0,0,0,0,5,1,0,5,0,Nottingham,Nottingham
E02002875,E02002874,204,0,3,0,17,0,1,63,11,1,108,0,Nottingham,Nottingham
E02002875,E02002875,127,0,1,0,12,0,1,38,2,3,70,0,Nottingham,Nottingham
E02002875,E02002876,84,0,3,0,9,2,0,33,10,5,22,0,Nottingham,Nottingham
E02002875,E02002877,39,0,1,0,7,0,0,26,1,1,3,0,Nottingham,Nottingham
E02002875,E02002879,83,0,1,0,14,0,1,47,3,0,17,0,Nottingham,Nottingham
E02002875,E02002881,28,0,0,0,0,0,0,24,3,0,1,0,Nottingham,Nottingham
E02002875,E02002882,26,0,0,0,8,0,0,15,1,1,1,0,Nottingham,Nottingham
E02002875,E02002883,14,0,0,0,1,0,0,12,0,0,1,0,Nottingham,Nottingham
E02002875,E02002884,65,0,1,0,11,0,1,42,1,1,8,0,Nottingham,Nottingham
E02002875,E02002885,52,0,4,0,9,1,0,29,4,0,5,0,Nottingham,Nottingham
E02002875,E02002886,38,0,0,0,1,0,1,22,3,2,9,0,Nottingham,Nottingham
E02002875,E02002887,38,0,0,0,5,0,1,24,4,1,3,0,Nottingham,Nottingham
E02002875,E02002888,11,0,0,0,3,0,0,7,1,0,0,0,Nottingham,Nottingham
E02002875,E02002889,85,0,34,0,20,0,0,26,2,1,0,2,Nottingham,Nottingham
E02002875,E02002890,138,0,10,0,74,0,0,35,4,4,10,1,Nottingham,Nottingham
E02002875,E02002892,33,0,0,0,3,0,0,20,6,4,0,0,Nottingham,Nottingham
E02002875,E02002893,52,0,6,0,10,0,0,32,0,1,3,0,Nottingham,Nottingham
E02002875,E02002895,87,0,27,0,25,0,0,25,5,2,3,0,Nottingham,Nottingham
E02002875,E02002896,56,0,1,0,17,0,0,35,0,2,1,0,Nottingham,Nottingham
E02002875,E02002898,168,0,2,0,60,0,4,74,16,8,3,1,Nottingham,Nottingham
E02002875,E02002899,42,0,3,0,11,0,0,24,0,3,0,1,Nottingham,Nottingham
E02002875,E02006834,14,0,0,0,4,0,0,10,0,0,0,0,Nottingham,Nottingham
E02002875,E02006835,17,0,2,0,4,0,0,9,1,0,1,0,Nottingham,Nottingham
E02002875,E02006904,292,0,85,0,101,0,2,68,10,4,16,6,Nottingham,Nottingham
E02002875,E02006905,77,0,6,0,13,0,0,52,6,0,0,0,Nottingham,Nottingham
E02002876,E02002868,11,0,0,0,1,0,0,10,0,0,0,0,Nottingham,Nottingham
E02002876,E02002869,77,0,6,0,12,0,1,42,2,6,8,0,Nottingham,Nottingham
E02002876,E02002871,30,0,1,0,2,1,0,14,5,0,7,0,Nottingham,Nottingham
E02002876,E02002872,56,0,1,0,12,0,0,23,4,3,12,1,Nottingham,Nottingham
E02002876,E02002874,101,0,1,0,21,3,0,53,7,3,13,0,Nottingham,Nottingham
E02002876,E02002875,56,0,0,0,1,0,0,31,3,2,19,0,Nottingham,Nottingham
E02002876,E02002876,141,0,8,0,12,0,0,49,7,1,64,0,Nottingham,Nottingham
E02002876,E02002877,20,0,1,0,2,0,0,16,0,1,0,0,Nottingham,Nottingham
E02002876,E02002878,15,0,0,0,2,0,0,8,1,0,4,0,Nottingham,Nottingham
E02002876,E02002879,73,0,4,0,9,0,0,40,4,0,16,0,Nottingham,Nottingham
E02002876,E02002881,30,0,1,0,4,0,0,17,3,1,4,0,Nottingham,Nottingham
E02002876,E02002882,17,0,0,0,5,0,0,10,0,0,2,0,Nottingham,Nottingham
E02002876,E02002884,48,0,3,0,8,0,0,27,2,1,7,0,Nottingham,Nottingham
E02002876,E02002885,67,0,5,2,3,0,0,34,4,4,14,1,Nottingham,Nottingham
E02002876,E02002886,62,0,1,0,5,0,0,42,6,0,8,0,Nottingham,Nottingham
E02002876,E02002887,58,0,0,0,5,2,2,31,5,5,8,0,Nottingham,Nottingham
E02002876,E02002888,25,0,0,0,5,0,0,17,3,0,0,0,Nottingham,Nottingham
E02002876,E02002889,97,0,35,0,31,0,0,21,1,3,5,1,Nottingham,Nottingham
