Area of residence,Area of workplace,potential_demand
E02002868,E02002868,5
E02002868,E02002869,9
E02002868,E02002871,2
E02002868,E02002872,7
E02002868,E02002873,1
E02002868,E02002874,16
E02002868,E02002875,2
E02002868,E02002876,4
E02002868,E02002877,2
E02002868,E02002879,5
E02002868,E02002881,2
E02002868,E02002882,1
E02002868,E02002883,2
E02002868,E02002884,3
E02002868,E02002885,2
E02002868,E02002886,2
E02002868,E02002889,5
E02002868,E02002890,8
E02002868,E02002892,1
E02002868,E02002893,4
E02002868,E02002895,3
E02002868,E02002896,5
E02002868,E02002898,9
E02002868,E02002899,1
E02002868,E02006834,4
E02002868,E02006835,2
E02002868,E02006904,13
E02002868,E02006905,2
E02002869,E02002868,6
E02002869,E02002869,12
E02002869,E02002871,9
E02002869,E02002872,17
E02002869,E02002874,13
E02002869,E02002875,7
E02002869,E02002876,4
E02002869,E02002877,2
E02002869,E02002879,4
E02002869,E02002881,2
E02002869,E02002884,2
E02002869,E02002885,3
E02002869,E02002886,3
E02002869,E02002887,3
E02002869,E02002889,4
E02002869,E02002890,7
E02002869,E02002892,3
E02002869,E02002893,5
E02002869,E02002895,4
E02002869,E02002896,2
E02002869,E02002898,10
E02002869,E02002899,2
E02002869,E02006834,1
E02002869,E02006835,1
E02002869,E02006904,16
E02002869,E02006905,4
E02002871,E02002868,9
E02002871,E02002869,24
E02002871,E02002871,8
E02002871,E02002872,17
E02002871,E02002874,19
E02002871,E02002875,7
E02002871,E02002876,5
E02002871,E02002877,4
E02002871,E02002879,9
E02002871,E02002881,3
E02002871,E02002882,4
E02002871,E02002883,1
E02002871,E02002884,5
E02002871,E02002885,4
E02002871,E02002886,4
E02002871,E02002887,6
E02002871,E02002889,7
E02002871,E02002890,10
E02002871,E02002892,3
E02002871,E02002893,6
E02002871,E02002895,6
E02002871,E02002896,8
E02002871,E02002898,25
E02002871,E02002899,4
E02002871,E02006834,1
E02002871,E02006835,4
E02002871,E02006904,29
E02002871,E02006905,9
E02002872,E02002868,6
E02002872,E02002869,38
E02002872,E02002871,9
E02002872,E02002872,23
E02002872,E02002874,12
E02002872,E02002875,5
E02002872,E02002876,7
E02002872,E02002877,2
E02002872,E02002879,6
E02002872,E02002881,5
E02002872,E02002882,2
E02002872,E02002884,5
E02002872,E02002885,5
E02002872,E02002886,4
E02002872,E02002887,7
E02002872,E02002889,5
E02002872,E02002890,8
E02002872,E02002891,1
E02002872,E02002892,5
E02002872,E02002893,4
E02002872,E02002895,5
E02002872,E02002896,4
E02002872,E02002898,14
E02002872,E02002899,3
E02002872,E02006834,1
E02002872,E02006904,24
E02002872,E02006905,6
E02002873,E02002868,7
E02002873,E02002869,8
E02002873,E02002871,4
E02002873,E02002872,9
E02002873,E02002873,4
E02002873,E02002874,32
E02002873,E02002875,8
E02002873,E02002876,3
E02002873,E02002877,5
E02002873,E02002879,7
E02002873,E02002881,3
E02002873,E02002882,4
E02002873,E02002883,2
E02002873,E02002884,5
E02002873,E02002885,3
E02002873,E02002886,4
E02002873,E02002887,3
E02002873,E02002888,2
E02002873,E02002889,10
E02002873,E02002890,18
E02002873,E02002892,3
E02002873,E02002893,4
E02002873,E02002895,10
E02002873,E02002896,7
E02002873,E02002898,26
E02002873,E02002899,3
E02002873,E02006834,6
E02002873,E02006835,3
E02002873,E02006904,31
E02002873,E02006905,6
E02002874,E02002868,3
E02002874,E02002869,2
E02002874,E02002871,3
E02002874,E02002872,3
E02002874,E02002873,1
E02002874,E02002874,11
E02002874,E02002876,2
E02002874,E02002877,10
E02002874,E02002879,7
E02002874,E02002881,2
E02002874,E02002882,3
E02002874,E02002883,2
E02002874,E02002884,6
E02002874,E02002885,6
E02002874,E02002886,4
E02002874,E02002887,1
E02002874,E02002888,2
E02002874,E02002889,14
E02002874,E02002890,13
E02002874,E02002892,2
E02002874,E02002893,3
E02002874,E02002895,13
E02002874,E02002896,5
E02002874,E02002898,22
E02002874,E02002899,6
E02002874,E02006834,1
E02002874,E02006904,38
E02002874,E02006905,9
E02002875,E02002868,4
E02002875,E02002869,9
E02002875,E02002871,6
E02002875,E02002872,12
E02002875,E02002873,1
E02002875,E02002874,23
E02002875,E02002875,6
E02002875,E02002876,12
E02002875,E02002877,5
E02002875,E02002879,8
E02002875,E02002881,3
E02002875,E02002882,4
E02002875,E02002883,1
E02002875,E02002884,8
E02002875,E02002885,6
E02002875,E02002886,6
E02002875,E02002887,5
E02002875,E02002888,1
E02002875,E02002889,10
E02002875,E02002890,18
E02002875,E02002892,7
E02002875,E02002893,6
E02002875,E02002895,11
E02002875,E02002896,7
E02002875,E02002898,23
E02002875,E02002899,6
E02002875,E02006834,2
E02002875,E02006835,2
E02002875,E02006904,31
E02002875,E02006905,6
E02002876,E02002868,1
E02002876,E02002869,14
E02002876,E02002871,3
E02002876,E02002872,9
E02002876,E02002874,14
E02002876,E02002875,7
E02002876,E02002876,4
E02002876,E02002877,3
E02002876,E02002878,1
E02002876,E02002879,8
E02002876,E02002881,4
E02002876,E02002882,2
E02002876,E02002884,6
E02002876,E02002885,11
E02002876,E02002886,7
E02002876,E02002887,11
E02002876,E02002888,2
E02002876,E02002889,13
E02002876,E02002890,17
E02002876,E02002892,11
E02002876,E02002893,5
E02002876,E02002894,2
E02002876,E02002895,10
E02002876,E02002896,9
E02002876,E02002898,25
E02002876,E02002899,10
E02002876,E02006904,35
E02002876,E02006905,10
E02002877,E02002868,1
E02002877,E02002869,4
E02002877,E02002871,4
E02002877,E02002872,3
E02002877,E02002874,20
E02002877,E02002875,2
E02002877,E02002876,3
E02002877,E02002877,9
E02002877,E02002879,6
E02002877,E02002881,4
E02002877,E02002882,5
E02002877,E02002883,5
E02002877,E02002884,16
E02002877,E02002885,7
E02002877,E02002886,5
E02002877,E02002887,3
E02002877,E02002888,5
E02002877,E02002889,36
E02002877,E02002890,25
E02002877,E02002892,3
E02002877,E02002893,4
E02002877,E02002895,21
E02002877,E02002896,8
E02002877,E02002898,25
E02002877,E02002899,12
E02002877,E02006904,69
E02002877,E02006905,17
E02002878,E02002869,9
E02002878,E02002871,4
E02002878,E02002872,10
E02002878,E02002874,6
E02002878,E02002875,5
E02002878,E02002876,5
E02002878,E02002877,2
E02002878,E02002878,5
E02002878,E02002879,5
E02002878,E02002881,9
E02002878,E02002882,2
E02002878,E02002884,5
E02002878,E02002885,7
E02002878,E02002886,8
E02002878,E02002887,13
E02002878,E02002888,2
E02002878,E02002889,8
E02002878,E02002890,8
E02002878,E02002892,13
E02002878,E02002893,6
E02002878,E02002894,2
E02002878,E02002895,5
E02002878,E02002896,4
E02002878,E02002898,27
E02002878,E02002899,3
E02002878,E02006904,18
E02002878,E02006905,6
E02002879,E02002868,1
E02002879,E02002869,4
E02002879,E02002871,5
E02002879,E02002872,8
E02002879,E02002874,27
E02002879,E02002875,5
E02002879,E02002876,10
E02002879,E02002877,9
E02002879,E02002879,7
E02002879,E02002881,6
E02002879,E02002882,6
E02002879,E02002883,5
E02002879,E02002884,9
E02002879,E02002885,15
E02002879,E02002886,11
E02002879,E02002887,4
E02002879,E02002888,4
E02002879,E02002889,23
E02002879,E02002890,29
E02002879,E02002892,6
E02002879,E02002893,7
E02002879,E02002894,2
E02002879,E02002895,13
E02002879,E02002896,14
E02002879,E02002898,27
E02002879,E02002899,8
E02002879,E02006834,2
E02002879,E02006835,3
E02002879,E02006904,59
E02002879,E02006905,19
E02002880,E02002868,1
E02002880,E02002869,11
E02002880,E02002871,1
E02002880,E02002872,11
E02002880,E02002874,8
E02002880,E02002875,4
E02002880,E02002876,10
E02002880,E02002877,2
E02002880,E02002878,6
E02002880,E02002879,4
E02002880,E02002880,6
E02002880,E02002881,5
E02002880,E02002884,8
E02002880,E02002885,10
E02002880,E02002886,10
E02002880,E02002887,21
E02002880,E02002888,1
E02002880,E02002889,10
E02002880,E02002890,14
E02002880,E02002892,9
E02002880,E02002893,5
E02002880,E02002895,7
E02002880,E02002896,5
E02002880,E02002898,26
E02002880,E02002899,7
E02002880,E02006904,29
E02002880,E02006905,10
E02002881,E02002869,7
E02002881,E02002871,1
E02002881,E02002872,5
E02002881,E02002874,3
E02002881,E02002875,1
E02002881,E02002876,3
E02002881,E02002877,2
E02002881,E02002878,3
E02002881,E02002879,2
E02002881,E02002881,2
E02002881,E02002884,3
E02002881,E02002885,5
E02002881,E02002886,5
E02002881,E02002887,17
E02002881,E02002888,1
E02002881,E02002889,6
E02002881,E02002890,8
E02002881,E02002892,16
E02002881,E02002893,4
E02002881,E02002895,3
E02002881,E02002896,3
E02002881,E02002897,2
E02002881,E02002898,13
E02002881,E02002899,4
E02002881,E02006904,16
E02002881,E02006905,4
E02002882,E02002869,2
E02002882,E02002871,1
E02002882,E02002872,2
E02002882,E02002874,14
E02002882,E02002875,2
E02002882,E02002876,8
E02002882,E02002877,10
E02002882,E02002879,8
E02002882,E02002881,3
E02002882,E02002882,2
E02002882,E02002883,3
E02002882,E02002884,8
E02002882,E02002885,6
E02002882,E02002886,5
E02002882,E02002887,3
E02002882,E02002888,4
E02002882,E02002889,33
E02002882,E02002890,29
E02002882,E02002892,1
E02002882,E02002893,4
E02002882,E02002895,20
E02002882,E02002896,5
E02002882,E02002898,31
E02002882,E02002899,19
E02002882,E02006904,88
E02002882,E02006905,17
E02002883,E02002869,3
E02002883,E02002871,2
E02002883,E02002872,1
E02002883,E02002874,9
E02002883,E02002875,2
E02002883,E02002876,1
E02002883,E02002877,6
E02002883,E02002879,7
E02002883,E02002881,3
E02002883,E02002882,5
E02002883,E02002883,6
E02002883,E02002884,4
E02002883,E02002885,3
E02002883,E02002886,2
E02002883,E02002887,3
E02002883,E02002888,4
E02002883,E02002889,16
E02002883,E02002890,20
E02002883,E02002891,2
E02002883,E02002892,1
E02002883,E02002893,4
E02002883,E02002895,12
E02002883,E02002896,13
E02002883,E02002898,21
E02002883,E02002899,6
E02002883,E02006904,52
E02002883,E02006905,13
E02002884,E02002869,1
E02002884,E02002871,1
E02002884,E02002872,3
E02002884,E02002874,6
E02002884,E02002876,2
E02002884,E02002877,2
E02002884,E02002879,4
E02002884,E02002881,3
E02002884,E02002882,3
E02002884,E02002884,5
E02002884,E02002885,6
E02002884,E02002886,1
E02002884,E02002887,3
E02002884,E02002888,3
E02002884,E02002889,18
E02002884,E02002890,22
E02002884,E02002891,1
E02002884,E02002893,7
E02002884,E02002895,13
E02002884,E02002896,11
E02002884,E02002898,25
E02002884,E02002899,14
E02002884,E02006904,68
E02002884,E02006905,10
E02002885,E02002869,2
E02002885,E02002871,1
E02002885,E02002872,3
E02002885,E02002874,7
E02002885,E02002876,1
E02002885,E02002877,1
E02002885,E02002879,6
E02002885,E02002882,3
E02002885,E02002884,7
E02002885,E02002885,7
E02002885,E02002886,3
E02002885,E02002887,4
E02002885,E02002888,1
E02002885,E02002889,21
E02002885,E02002890,15
E02002885,E02002892,3
E02002885,E02002893,6
E02002885,E02002895,9
E02002885,E02002896,6
E02002885,E02002898,16
E02002885,E02002899,10
E02002885,E02006835,2
E02002885,E02006904,51
E02002885,E02006905,13
E02002886,E02002869,3
E02002886,E02002871,2
E02002886,E02002872,4
E02002886,E02002874,7
E02002886,E02002875,3
E02002886,E02002876,3
E02002886,E02002877,2
E02002886,E02002879,5
E02002886,E02002881,4
E02002886,E02002882,3
E02002886,E02002883,2
E02002886,E02002884,7
E02002886,E02002885,11
E02002886,E02002886,9
E02002886,E02002887,10
E02002886,E02002889,15
E02002886,E02002890,13
E02002886,E02002892,4
E02002886,E02002893,10
E02002886,E02002894,3
E02002886,E02002895,13
E02002886,E02002896,6
E02002886,E02002898,36
E02002886,E02002899,15
E02002886,E02006904,36
E02002886,E02006905,17
E02002887,E02002869,3
E02002887,E02002871,1
E02002887,E02002872,3
E02002887,E02002874,5
E02002887,E02002875,1
E02002887,E02002876,3
E02002887,E02002877,2
E02002887,E02002878,2
E02002887,E02002879,3
E02002887,E02002880,3
E02002887,E02002881,4
E02002887,E02002884,2
E02002887,E02002885,3
E02002887,E02002886,10
E02002887,E02002887,12
E02002887,E02002889,5
E02002887,E02002890,7
E02002887,E02002892,8
E02002887,E02002893,5
E02002887,E02002894,3
E02002887,E02002895,3
E02002887,E02002896,4
E02002887,E02002897,1
E02002887,E02002898,25
E02002887,E02002899,12
E02002887,E02006904,17
E02002887,E02006905,8
E02002888,E02002872,4
E02002888,E02002874,4
E02002888,E02002876,1
E02002888,E02002877,3
E02002888,E02002879,3
E02002888,E02002881,1
E02002888,E02002882,3
E02002888,E02002883,3
E02002888,E02002884,5
E02002888,E02002885,2
E02002888,E02002886,3
E02002888,E02002887,2
E02002888,E02002888,3
E02002888,E02002889,11
E02002888,E02002890,19
E02002888,E02002893,4
E02002888,E02002895,8
E02002888,E02002896,8
E02002888,E02002898,17
E02002888,E02002899,3
E02002888,E02006904,47
E02002888,E02006905,20
E02002889,E02002869,2
E02002889,E02002872,2
E02002889,E02002874,2
E02002889,E02002876,1
E02002889,E02002877,3
E02002889,E02002879,2
E02002889,E02002881,1
E02002889,E02002882,1
E02002889,E02002884,2
E02002889,E02002885,4
E02002889,E02002886,1
E02002889,E02002887,2
E02002889,E02002888,3
E02002889,E02002889,9
E02002889,E02002890,24
E02002889,E02002892,2
E02002889,E02002893,5
E02002889,E02002895,12
E02002889,E02002896,4
E02002889,E02002898,20
E02002889,E02002899,10
E02002889,E02006904,71
E02002889,E02006905,10
E02002890,E02002869,1
E02002890,E02002872,2
E02002890,E02002874,4
E02002890,E02002877,3
E02002890,E02002879,4
E02002890,E02002882,3
E02002890,E02002883,3
E02002890,E02002884,4
E02002890,E02002885,4
E02002890,E02002886,1
E02002890,E02002888,3
E02002890,E02002889,24
E02002890,E02002890,11
E02002890,E02002892,3
E02002890,E02002893,5
E02002890,E02002895,10
E02002890,E02002896,11
E02002890,E02002898,17
E02002890,E02002899,12
E02002890,E02006904,70
E02002890,E02006905,13
E02002891,E02002869,1
E02002891,E02002872,2
E02002891,E02002874,5
E02002891,E02002875,1
E02002891,E02002876,1
E02002891,E02002877,3
E02002891,E02002879,1
E02002891,E02002881,1
E02002891,E02002882,2
E02002891,E02002883,2
E02002891,E02002884,4
E02002891,E02002885,3
E02002891,E02002886,3
E02002891,E02002887,3
E02002891,E02002888,3
E02002891,E02002889,14
E02002891,E02002890,19
E02002891,E02002891,3
E02002891,E02002892,2
E02002891,E02002893,4
E02002891,E02002895,8
E02002891,E02002896,22
E02002891,E02002898,24
E02002891,E02002899,4
E02002891,E02006904,52
E02002891,E02006905,14
E02002892,E02002869,4
E02002892,E02002872,4
E02002892,E02002874,3
E02002892,E02002875,2
E02002892,E02002879,2
E02002892,E02002881,3
E02002892,E02002882,1
E02002892,E02002884,2
E02002892,E02002885,4
E02002892,E02002886,6
E02002892,E02002887,11
E02002892,E02002889,9
E02002892,E02002890,5
E02002892,E02002892,8
E02002892,E02002893,5
E02002892,E02002894,7
E02002892,E02002895,3
E02002892,E02002896,4
E02002892,E02002897,5
E02002892,E02002898,16
E02002892,E02002899,10
E02002892,E02006904,15
E02002892,E02006905,8
E02002893,E02002869,2
E02002893,E02002872,3
E02002893,E02002874,7
E02002893,E02002875,3
E02002893,E02002876,4
E02002893,E02002877,1
E02002893,E02002879,5
E02002893,E02002882,1
E02002893,E02002884,4
E02002893,E02002885,9
E02002893,E02002886,2
E02002893,E02002887,4
E02002893,E02002888,2
E02002893,E02002889,19
E02002893,E02002890,19
E02002893,E02002892,6
E02002893,E02002893,8
E02002893,E02002894,4
E02002893,E02002895,17
E02002893,E02002896,9
E02002893,E02002898,46
E02002893,E02002899,38
E02002893,E02006904,59
E02002893,E02006905,20
E02002894,E02002869,1
E02002894,E02002872,2
E02002894,E02002874,7
E02002894,E02002876,3
E02002894,E02002877,1
E02002894,E02002879,2
E02002894,E02002881,4
E02002894,E02002884,6
E02002894,E02002885,4
E02002894,E02002886,9
E02002894,E02002887,5
E02002894,E02002888,1
E02002894,E02002889,10
E02002894,E02002890,11
E02002894,E02002892,8
E02002894,E02002893,7
E02002894,E02002894,9
E02002894,E02002895,15
E02002894,E02002896,4
E02002894,E02002897,10
E02002894,E02002898,54
E02002894,E02002899,48
E02002894,E02006904,41
E02002894,E02006905,17
E02002895,E02002869,1
E02002895,E02002872,1
E02002895,E02002874,9
E02002895,E02002879,3
E02002895,E02002883,4
E02002895,E02002884,3
E02002895,E02002885,2
E02002895,E02002886,3
E02002895,E02002887,3
E02002895,E02002889,17
E02002895,E02002890,14
E02002895,E02002893,3
E02002895,E02002895,8
E02002895,E02002896,6
E02002895,E02002898,36
E02002895,E02002899,58
E02002895,E02006904,54
E02002895,E02006905,11
E02002896,E02002869,2
E02002896,E02002872,2
E02002896,E02002874,5
E02002896,E02002877,5
E02002896,E02002879,5
E02002896,E02002881,2
E02002896,E02002882,2
E02002896,E02002883,2
E02002896,E02002884,4
E02002896,E02002885,5
E02002896,E02002886,1
E02002896,E02002887,4
E02002896,E02002888,7
E02002896,E02002889,26
E02002896,E02002890,23
E02002896,E02002891,5
E02002896,E02002892,1
E02002896,E02002893,7
E02002896,E02002894,1
E02002896,E02002895,18
E02002896,E02002896,15
E02002896,E02002898,31
E02002896,E02002899,19
E02002896,E02006904,76
E02002896,E02006905,32
E02002897,E02002872,2
E02002897,E02002874,6
E02002897,E02002876,2
E02002897,E02002877,1
E02002897,E02002879,4
E02002897,E02002881,2
E02002897,E02002884,2
E02002897,E02002885,3
E02002897,E02002886,9
E02002897,E02002887,6
E02002897,E02002888,1
E02002897,E02002889,11
E02002897,E02002890,8
E02002897,E02002892,9
E02002897,E02002893,3
E02002897,E02002894,5
E02002897,E02002895,11
E02002897,E02002896,2
E02002897,E02002897,11
E02002897,E02002898,53
E02002897,E02002899,45
E02002897,E02006904,43
E02002897,E02006905,9
E02002898,E02002872,1
E02002898,E02002874,4
E02002898,E02002876,1
E02002898,E02002879,3
E02002898,E02002881,3
E02002898,E02002882,2
E02002898,E02002884,2
E02002898,E02002885,5
E02002898,E02002886,2
E02002898,E02002889,13
E02002898,E02002890,15
E02002898,E02002892,2
E02002898,E02002893,3
E02002898,E02002895,11
E02002898,E02002896,5
E02002898,E02002898,35
E02002898,E02002899,85
E02002898,E02006904,55
E02002898,E02006905,25
E02002899,E02002874,3
E02002899,E02002879,1
E02002899,E02002885,2
E02002899,E02002887,2
E02002899,E02002889,6
E02002899,E02002890,9
E02002899,E02002892,2
E02002899,E02002893,3
E02002899,E02002894,3
E02002899,E02002895,6
E02002899,E02002896,2
E02002899,E02002897,2
E02002899,E02002898,37
E02002899,E02002899,41
E02002899,E02006904,23
E02002899,E02006905,11
E02006834,E02002868,8
E02006834,E02002869,11
E02006834,E02002871,4
E02006834,E02002872,10
E02006834,E02002873,3
E02006834,E02002874,27
E02006834,E02002875,6
E02006834,E02002876,6
E02006834,E02002877,4
E02006834,E02002879,7
E02006834,E02002881,2
E02006834,E02002882,2
E02006834,E02002883,2
E02006834,E02002884,2
E02006834,E02002885,4
E02006834,E02002886,3
E02006834,E02002888,2
E02006834,E02002889,5
E02006834,E02002890,10
E02006834,E02002891,2
E02006834,E02002892,1
E02006834,E02002893,2
E02006834,E02002895,4
E02006834,E02002896,5
E02006834,E02002898,12
E02006834,E02002899,3
E02006834,E02006834,5
E02006834,E02006835,3
E02006834,E02006904,18
E02006834,E02006905,6
E02006835,E02002868,4
E02006835,E02002869,8
E02006835,E02002871,2
E02006835,E02002872,5
E02006835,E02002874,18
E02006835,E02002875,3
E02006835,E02002876,2
E02006835,E02002877,3
E02006835,E02002879,4
E02006835,E02002881,2
E02006835,E02002882,1
E02006835,E02002883,1
E02006835,E02002884,4
E02006835,E02002885,3
E02006835,E02002886,1
E02006835,E02002887,1
E02006835,E02002888,1
E02006835,E02002889,4
E02006835,E02002890,6
E02006835,E02002892,1
E02006835,E02002893,2
E02006835,E02002895,4
E02006835,E02002896,2
E02006835,E02002898,5
E02006835,E02002899,3
E02006835,E02006834,4
E02006835,E02006835,3
E02006835,E02006904,12
E02006835,E02006905,4
E02006904,E02002872,1
E02006904,E02002874,4
E02006904,E02002879,3
E02006904,E02002884,3
E02006904,E02002885,2
E02006904,E02002886,2
E02006904,E02002887,3
E02006904,E02002889,21
E02006904,E02002890,19
E02006904,E02002892,2
E02006904,E02002893,3
E02006904,E02002895,19
E02006904,E02002896,18
E02006904,E02002898,37
E02006904,E02002899,25
E02006904,E02006904,32
E02006904,E02006905,27
E02006905,E02002869,1
E02006905,E02002872,1
E02006905,E02002874,3
E02006905,E02002877,1
E02006905,E02002879,2
E02006905,E02002881,1
E02006905,E02002884,2
E02006905,E02002885,1
E02006905,E02002887,2
E02006905,E02002888,3
E02006905,E02002889,15
E02006905,E02002890,16
E02006905,E02002892,1
E02006905,E02002893,4
E02006905,E02002895,14
E02006905,E02002896,7
E02006905,E02002898,47
E02006905,E02002899,17
E02006905,E02006904,58
E02006905,E02006905,36
